NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
7301505,A,A,A,D,B,C,A,B,C,B,B,C,B,B,B,B,A,C,B,D,A,B,B,B,C
19914677,A,A,B,A,D,A,D,D,A,C,C,A,B,B,A,B,A,A,B,C,A,B,A,A,A
3876576,A,A,B,B,A,A,C,D,A,B,B,A,B,A,A,A,C,B,C,C,B,A,C,C,B
20103228,A,A,D,D,C,D,C,D,D,B,C,D,A,A,D,C,C,C,A,A,A,D,C,A,D
19980769,A,B,A,A,A,C,B,C,A,A,B,D,C,B,B,D,C,A,B,B,A,C,B,B,C
19878552,B,A,D,D,A,C,B,B,A,B,C,B,C,B,D,C,C,C,C,B,D,D,D,C,A
3566064,B,A,D,D,B,D,B,C,D,D,B,B,B,B,B,C,C,B,C,D,B,A,D,A,C
20025052,B,C,C,B,B,B,C,C,D,B,D,C,D,B,B,A,B,A,B,C,B,C,D,B,C
20064505,B,C,D,D,A,C,B,A,A,C,D,C,C,A,B,D,A,C,B,C,B,A,C,C,A
20259085,B,C,D,D,A,C,A,B,A,C,D,C,B,B,B,B,A,A,A,C,D,A,C,C,B
19912925,B,C,D,B,A,C,C,B,A,D,D,D,A,C,B,A,A,D,C,C,C,A,C,C,B
19980674,B,D,B,B,B,B,D,C,C,B,D,A,C,C,B,C,A,C,D,C,B,B,B,B,A
19892942,B,D,D,D,A,C,A,D,A,D,D,C,A,A,B,B,A,D,C,C,D,A,C,C,B
19953090,C,A,C,C,D,A,B,B,D,B,C,D,D,B,B,C,C,A,C,C,D,D,D,B,B
4956249,D,A,B,A,B,D,D,C,A,A,D,C,D,B,C,C,B,B,A,B,C,A,C,C,B
19954919,D,A,D,A,A,C,A,A,A,C,C,A,B,B,A,A,C,A,A,A,A,A,C,B,A
20022480,D,B,C,B,A,C,B,D,A,B,D,C,B,A,B,A,A,D,A,C,A,B,D,C,A
19798649,D,D,D,D,A,D,A,B,A,D,D,A,A,D,D,B,A,D,D,A,D,A,A,A,D
10201260,B,A,B,B,A,A,C,A,B,D,C,C,B,A,A,C,C,D,B,B,C,A,D,B,B
5137240,B,A,D,D,A,C,B,B,C,C,D,C,B,C,A,B,C,C,A,C,D,D,C,C,B
5063469,B,A,D,A,A,C,B,B,B,C,D,B,C,C,A,A,D,A,C,C,D,A,C,B,C
19929832,B,A,D,C,A,C,C,D,B,D,B,D,C,B,A,A,A,B,A,D,D,A,D,A,D
20147300,B,B,D,A,A,B,D,C,A,C,C,D,D,B,D,C,C,B,B,C,D,A,C,A,A
10213406,B,C,C,C,A,B,B,D,A,A,D,A,D,C,A,D,C,D,B,C,A,A,B,C,D
20235834,B,C,D,B,A,A,B,C,A,D,D,C,C,A,B,D,A,D,C,C,D,A,C,C,B
19913059,B,C,D,D,A,C,C,B,B,C,C,C,B,A,B,B,A,B,C,C,C,D,C,A,B
20065702,B,C,D,B,D,C,A,B,B,D,D,C,A,A,B,A,A,D,C,C,D,A,C,B,B
20074115,B,D,B,C,D,A,D,C,A,C,C,A,A,A,A,D,B,C,A,D,A,D,B,D,C
20232924,C,A,C,A,D,A,C,C,A,B,C,C,B,A,B,D,C,C,A,D,A,D,D,A,D
2955634,C,C,B,A,B,B,D,C,C,C,C,B,C,B,B,A,A,B,C,A,B,D,A,A,A
19990697,D,A,D,A,A,A,D,A,A,D,C,C,B,D,D,C,A,D,D,C,D,A,C,D,B
20026355,D,B,A,B,A,B,B,B,B,B,B,B,B,B,C,A,C,B,B,B,B,A,B,B,C
20073226,A,A,C,D,A,A,A,B,A,D,D,C,B,B,D,D,C,D,D,C,C,D,C,A,A
19852359,A,C,D,A,A,A,B,D,C,B,A,B,A,B,D,D,B,B,D,B,B,A,C,B,A
19942312,B,A,D,A,A,C,B,B,A,C,D,A,A,B,A,A,A,D,B,C,D,A,D,B,B
19976234,B,A,D,A,A,A,C,C,A,C,C,D,B,A,A,D,C,C,A,A,D,B,C,B,D
19734980,B,B,B,A,A,B,A,B,A,A,A,A,A,B,B,A,B,A,A,B,B,A,B,C,B
19931217,B,B,D,D,A,C,C,B,D,D,D,C,B,B,B,B,C,D,A,C,D,B,C,C,B
7319747,B,D,D,D,A,B,B,A,B,D,B,C,B,C,D,C,C,C,C,C,B,A,A,B,D
20107588,B,D,D,A,D,A,C,A,A,C,C,C,D,B,B,A,C,A,A,B,D,A,C,B,D
20072436,C,A,B,B,A,B,C,B,B,C,C,B,B,A,A,C,A,D,B,B,C,A,A,B,A
10273435,C,A,B,B,A,B,C,B,C,A,A,C,C,B,A,B,A,B,A,D,B,C,D,C,A
19943688,C,A,D,C,D,B,C,D,D,D,B,D,B,B,D,D,C,A,C,A,D,A,B,A,D
1719016,C,D,C,D,A,C,A,B,A,D,D,C,A,A,A,A,A,D,C,C,C,A,C,D,B
19879747,D,A,B,C,A,C,D,A,D,C,C,B,D,B,B,B,D,B,B,B,C,B,C,D,B
4141399,D,A,B,A,D,D,C,D,A,A,B,D,C,A,B,A,C,D,A,D,A,A,C,B,D
4473278,D,A,D,A,C,B,D,C,D,B,C,A,B,D,B,C,C,D,C,D,A,A,C,A,C
2774800,D,A,D,D,C,B,D,D,C,D,D,D,D,C,D,D,B,D,C,D,D,D,B,C,D
19896569,D,B,B,C,C,B,B,C,C,B,D,A,B,B,C,C,B,C,A,B,C,B,B,B,B
19747392,D,B,C,A,D,C,B,D,D,A,C,B,D,C,C,D,C,D,C,C,B,A,C,A,C
20114083,D,C,D,B,D,D,C,B,C,B,D,D,D,B,B,D,C,B,A,B,A,A,D,B,C
19731636,A,A,A,B,A,A,A,A,A,A,B,A,A,A,A,A,A,A,A,A,A,A,A,A,A
19981019,A,A,C,A,B,C,D,B,A,A,B,D,A,A,B,A,C,C,C,B,D,A,A,B,A
20047678,A,A,C,D,B,D,D,D,B,D,C,D,B,A,A,B,C,C,C,B,D,B,C,B,B
3221230,A,A,D,D,A,C,C,B,A,C,B,D,C,C,A,B,C,A,D,A,D,B,C,B,B
20129433,A,A,D,C,C,A,B,C,A,B,C,C,C,B,B,A,C,C,C,C,B,D,C,B,C
19874277,A,B,A,C,A,A,A,A,D,C,C,A,C,C,A,C,D,C,B,B,A,A,A,C,A
20153751,A,C,C,D,C,A,C,A,A,C,A,B,B,A,C,A,B,B,B,B,B,B,A,B,B
5616221,A,D,A,D,C,D,B,A,A,D,B,D,D,D,D,A,A,D,D,C,D,D,C,B,D
20053214,B,A,C,D,B,C,B,C,C,C,B,B,A,C,B,A,D,D,D,C,C,A,A,B,A
19791437,B,A,D,B,C,C,A,B,A,D,D,C,B,A,B,A,C,D,C,C,D,A,C,C,A
19742526,B,A,D,A,A,C,C,C,D,C,C,D,D,B,A,C,C,B,C,A,D,A,C,A,C
19989547,B,C,B,B,C,D,B,B,D,B,B,B,D,C,C,C,C,C,C,A,D,C,C,A,B
19885581,B,C,B,B,D,C,A,C,B,D,C,C,B,A,B,D,D,D,C,C,D,D,C,C,B
19973060,B,C,D,D,A,A,C,B,A,D,D,C,A,A,B,A,A,D,C,C,D,A,C,C,B
5874682,B,C,D,D,A,C,C,B,A,D,D,D,D,B,B,B,D,D,B,C,D,A,C,B,B
19791449,B,C,D,B,A,C,A,B,A,D,D,C,A,A,B,A,A,D,C,C,D,A,C,C,B
7322219,B,C,D,D,A,C,A,B,A,D,D,C,A,A,B,A,A,D,C,C,D,A,C,C,B
20181298,C,B,C,A,A,D,D,A,D,C,B,C,C,A,C,A,D,A,D,C,A,C,D,A,D
20009245,C,C,B,A,A,C,A,D,A,D,D,C,A,A,B,A,A,A,C,C,D,D,B,C,A
19831339,C,C,B,B,B,D,B,D,C,C,C,C,D,C,D,D,D,B,C,C,B,B,C,D,B
19738408,C,C,B,D,A,C,A,B,C,A,C,D,A,C,A,D,A,C,B,C,B,A,A,A,D
10275744,C,C,D,D,A,C,B,D,B,D,D,D,A,A,B,A,C,D,C,A,D,A,C,B,B
4839762,D,A,B,D,B,C,A,D,C,A,B,D,B,B,D,A,C,D,A,D,D,B,B,B,D
19911007,D,A,D,A,D,C,A,B,A,D,B,B,A,A,B,A,C,D,D,D,D,A,A,B,A
5062235,D,A,D,B,A,C,A,B,B,A,C,D,D,A,A,B,C,B,D,A,C,B,C,B,B
6412285,D,B,D,A,A,C,C,A,A,A,D,D,A,C,B,D,D,A,C,C,A,B,D,C,B
19878544,D,C,B,A,D,C,D,D,A,D,D,D,A,C,B,B,C,A,D,C,B,D,C,B,D
4835764,D,D,C,D,C,C,A,B,D,C,B,D,C,C,C,D,B,B,A,C,C,C,C,C,C
19889704,A,A,A,B,C,D,C,A,D,A,D,C,A,B,B,B,D,D,A,A,D,C,D,D,B
4472641,A,A,A,B,A,B,A,D,A,C,C,A,B,B,A,A,C,B,C,A,B,C,B,C,C
19864231,A,A,B,C,D,D,D,C,D,D,B,C,B,B,A,B,C,D,C,A,C,B,B,B,C
4027956,A,A,D,C,A,B,C,C,D,C,D,C,D,B,A,C,B,C,C,B,C,C,C,C,A
20135548,A,A,D,A,A,C,B,B,B,A,B,C,D,A,B,C,B,C,C,C,D,D,A,A,B
19916851,A,A,D,C,A,C,C,B,A,A,B,C,A,B,B,A,A,D,B,A,B,A,C,B,B
