N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,19713061,C,A,B,B,B,B,A,B,B,C,C,B,C,B,A,D,B,D,B,A,B,C,D,B,A
2,19863268,B,C,D,D,A,C,A,B,A,D,D,C,A,B,B,A,A,D,C,C,D,A,D,C,B
3,19996694,A,A,,B,A,A,C,C,A,C,C,D,B,C,,B,,B,C,C,A,,D,B,A
4,20358299,B,C,D,C,C,C,C,B,C,B,C,A,D,C,B,A,A,A,A,A,D,A,A,B,C
5,5103796,B,C,D,B,B,C,C,B,A,D,D,A,A,B,B,C,C,D,D,C,A,A,C,B,B
6,10192151,B,B,D,C,B,A,C,C,D,C,C,A,B,B,B,D,D,A,C,B,A,D,C,B,B
7,19998852,D,B,D,B,A,A,C,D,A,D,D,B,C,A,A,A,B,A,B,D,D,A,C,B,D
8,3268826,B,A,D,B,A,C,A,B,A,B,D,C,A,A,B,B,B,C,A,C,D,A,C,C,B
9,7281496,D,B,D,C,C,A,B,A,C,C,C,D,A,A,B,B,C,B,D,B,D,C,C,C,D
10,6727572,B,A,D,D,A,C,C,B,A,D,D,B,C,B,B,A,B,D,D,C,D,A,C,B,B
11,19863366,C,A,D,C,A,C,B,B,B,B,B,B,B,B,A,D,A,D,B,C,C,B,C,A,B
12,7281453,D,C,D,A,A,A,A,B,A,C,C,C,A,A,B,C,C,D,C,C,B,A,C,C,C
13,19863391,B,C,D,D,A,C,B,B,A,C,D,C,D,B,B,A,A,D,C,C,D,A,C,C,B
14,19992860,D,A,D,D,A,D,D,D,B,C,B,A,C,A,A,B,C,A,C,B,B,A,C,C,C
15,20096093,B,D,B,D,C,C,C,D,A,C,D,C,C,A,B,B,B,D,D,C,D,D,A,C,B
16,3040214,A,A,A,B,A,C,A,D,C,B,C,B,D,A,B,B,B,C,C,D,C,B,B,B,B
17,19998675,C,A,D,B,A,A,C,B,A,C,D,D,B,B,B,A,C,D,B,C,D,A,A,B,B
18,20096590,D,A,A,D,D,C,C,D,D,C,C,C,B,C,B,B,C,A,C,C,A,A,C,B,B
19,19863292,B,C,C,C,A,C,C,C,D,C,B,D,B,C,C,D,C,C,B,C,B,A,C,B,B
20,19863302,D,A,B,D,A,A,C,C,C,C,C,B,C,B,D,B,A,A,B,A,A,D,D,B,D
21,19999175,B,B,A,C,C,A,C,C,C,B,C,C,B,C,C,D,A,C,B,B,C,B,B,B,C
22,19998968,D,A,D,C,D,D,B,D,A,D,D,C,A,B,B,D,C,D,C,B,A,A,C,C,C
23,19989155,B,A,B,C,C,A,A,C,B,D,C,D,C,A,A,B,D,A,C,C,A,A,A,A,A
24,20099573,C,A,C,D,D,C,D,A,C,D,C,C,C,B,A,B,B,A,B,B,A,D,C,B,C
25,20206821,B,B,B,C,B,C,D,C,C,B,C,D,C,C,D,B,C,A,C,D,A,C,C,C,C
27,19863379,A,C,C,C,A,A,A,C,A,A,C,D,D,C,A,A,C,A,A,D,D,A,C,B,C
28,20125477,A,B,D,B,A,C,C,A,D,C,D,D,A,C,B,D,C,C,C,A,B,A,D,C,D
29,20088872,B,A,C,D,D,C,B,C,A,D,A,D,C,C,B,A,C,D,B,B,B,A,C,C,D
30,6560527,B,B,D,A,A,C,A,C,B,C,C,C,A,A,B,A,C,B,A,B,D,A,C,B,B
31,19901822,D,A,D,A,C,D,C,D,A,D,C,D,B,C,A,A,A,D,B,C,D,A,D,D,D
32,4658680,D,A,A,B,A,D,A,C,D,D,B,D,B,D,A,D,C,B,A,D,A,B,C,A,A
33,20096767,B,A,B,C,C,A,B,C,D,C,B,,C,C,,,C,D,C,D,C,B,D,B,A
