N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,19997896,D,D,B,B,D,D,D,C,B,A,D,D,A,B,A,B,A,A,B,A,D,B,B,D,A
2,19997894,D,A,B,B,D,A,B,B,B,A,D,C,A,B,D,C,A,B,A,B,C,D,B,B,A
3,20291474,C,B,B,B,D,D,D,C,B,A,C,A,A,D,A,A,A,B,C,B,A,C,B,B,A
4,20095991,C,B,B,B,C,A,B,B,B,A,B,A,D,B,D,B,B,B,C,A,A,B,B,B,B
5,10077405,C,B,B,B,D,A,D,B,B,A,D,A,A,B,C,C,C,B,D,B,D,C,A,D,A
6,20066187,D,C,B,B,D,B,D,C,B,A,D,A,A,B,C,C,A,A,C,A,C,B,B,D,A
7,20174659,B,A,A,B,D,D,D,A,A,A,D,B,B,B,B,B,A,A,C,A,B,B,B,A,D
8,20097109,C,A,B,B,B,D,D,A,B,A,B,B,A,B,C,B,A,C,A,B,C,D,A,B,C
9,20110451,B,B,A,B,C,D,A,C,B,C,D,C,B,B,B,B,A,A,B,A,B,B,B,B,B
10,20097297,C,C,B,B,D,D,D,B,B,A,D,C,A,A,A,D,B,A,C,D,A,A,B,B,A
11,20097076,B,D,B,B,D,A,D,B,B,A,D,C,A,C,D,B,A,B,A,A,C,D,B,D,A
12,10067015,C,B,D,D,D,D,D,D,B,A,C,D,D,B,D,C,D,B,D,B,A,D,C,D,B
13,20281771,D,C,B,A,D,D,D,C,B,A,D,A,A,C,B,D,C,B,C,D,C,B,B,D,A
14,10058980,C,A,B,B,D,D,D,C,D,C,D,A,D,C,C,B,C,A,C,B,A,C,C,B,C
15,20304571,C,C,B,A,A,D,D,D,C,B,B,A,B,D,C,D,A,B,A,B,D,B,B,C,B
16,20097587,C,B,C,B,C,A,D,C,C,A,D,C,A,B,C,D,A,A,D,A,C,D,D,D,C
17,10003360,B,C,B,B,A,C,B,B,C,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
18,10019206,D,D,B,A,D,D,D,C,B,A,D,A,A,D,C,B,C,A,C,A,A,C,B,B,A
19,20098274,C,A,B,A,C,A,C,C,C,B,D,D,B,B,C,B,C,C,B,B,A,B,A,B,B
20,20098524,D,D,A,B,C,A,D,C,B,D,D,C,B,B,B,C,A,A,D,B,C,C,B,B,A
21,20098397,D,C,B,B,D,B,D,B,B,A,B,A,A,B,C,A,A,A,C,B,C,A,B,D,A
22,10024331,C,C,B,B,D,A,D,D,C,B,D,D,B,B,D,B,A,A,A,A,C,B,A,B,A
23,20098860,B,B,B,D,D,C,B,A,B,B,B,C,D,A,B,B,B,C,C,B,C,B,A,A,C
24,20099421,C,A,B,B,D,A,D,A,C,A,C,C,B,B,D,D,C,A,C,B,A,B,B,D,B
25,20100017,D,B,B,A,B,D,B,C,B,A,D,A,A,D,B,B,A,A,B,D,C,B,B,D,A
26,20099658,C,A,B,B,D,B,B,B,B,A,C,A,B,C,C,B,C,B,B,B,D,C,A,D,C
27,20228720,C,D,B,B,C,C,D,C,C,A,D,D,D,A,C,A,D,A,A,B,A,C,C,D,B
28,20292215,D,B,C,B,C,C,A,A,C,B,D,C,A,B,B,C,A,A,D,B,B,D,B,A,B
29,19863387,C,C,B,B,C,A,A,A,B,B,B,B,C,C,A,B,C,D,C,A,A,B,A,B,A
30,20273018,D,B,B,B,A,A,D,B,D,D,D,A,A,B,D,C,A,D,A,D,A,D,B,D,A
31,20100436,D,B,,B,,,D,B,B,,D,,A,,D,,,,,,,D,B,D,B
32,7281471,C,C,B,B,B,B,D,C,C,A,D,C,A,B,B,C,A,C,D,B,C,D,D,B,A
33,20097001,D,B,B,D,B,B,C,D,D,C,D,C,A,C,C,C,A,B,D,B,B,D,C,C,C
34,20099040,C,B,B,B,D,D,D,C,B,A,D,C,C,C,A,A,C,C,C,A,C,B,B,B,C
35,19863271,D,B,B,A,C,A,D,B,C,A,D,C,B,B,D,C,D,B,D,B,C,C,B,D,C
36,20100524,C,D,D,B,D,D,A,C,B,A,D,B,A,C,C,B,A,A,A,B,A,D,B,B,B
37,20100502,B,D,B,B,C,A,C,A,C,C,C,B,B,C,C,A,D,B,B,C,B,B,C,B,C
