N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,20304563,A,A,B,D,D,D,C,B,B,A,C,A,A,B,C,A,B,D,C,A,A,A,D,A,B
2,20292379,B,A,B,B,C,D,C,A,A,A,C,D,A,B,C,C,C,D,C,A,A,A,D,D,B
3,10404011,D,A,D,B,A,C,C,D,A,B,D,D,C,C,B,B,C,A,D,C,A,B,B,D,A
4,10175734,A,A,D,D,A,D,C,B,D,A,C,A,A,B,D,A,C,C,C,A,A,A,D,D,B
5,10381002,D,A,B,A,A,C,D,A,C,D,D,D,C,C,C,C,A,A,D,G,A,B,D,D,B
6,20304572,A,A,D,B,A,A,B,A,B,A,C,A,A,A,A,C,A,D,B,A,D,A,D,D,A
7,10071344,B,A,D,D,A,A,B,B,B,B,B,D,C,B,A,B,B,C,A,B,A,A,D,C,A
8,20304580,B,D,B,C,D,B,B,A,A,C,D,D,A,C,A,C,A,A,B,C,A,B,D,B,B
9,20335683,A,A,D,D,D,A,C,B,C,A,C,A,A,B,C,C,C,A,C,C,A,A,D,D,B
10,20409821,C,A,B,B,A,D,C,A,C,B,C,D,B,A,A,C,C,B,A,B,A,A,D,D,B
11,10106700,D,A,B,D,B,D,C,B,D,C,C,A,B,B,C,C,C,C,C,A,A,A,D,C,B
12,10400728,A,A,B,B,B,D,C,A,B,A,C,D,A,B,C,C,B,D,B,B,A,A,D,A,B
13,20335693,B,D,C,A,A,C,D,C,D,B,A,D,B,A,B,B,C,D,D,B,A,A,C,A,D
14,20367775,A,A,B,D,B,D,C,B,A,A,C,A,D,B,C,C,C,A,C,C,A,A,D,D,B
15,20335695,D,A,A,A,B,C,C,B,A,B,D,D,D,C,C,C,D,C,D,A,B,D,D,D,A
16,20320478,A,D,B,D,A,D,C,B,A,A,C,A,A,B,C,C,B,C,D,A,A,B,D,D,B
17,10114257,D,D,D,C,B,B,C,B,A,A,C,C,A,B,D,C,C,C,B,B,A,A,D,A,B
18,10461171,C,A,B,B,A,B,C,A,A,A,C,A,C,C,C,C,D,A,D,C,A,B,D,A,B
19,10071537,C,D,B,B,D,D,B,A,A,A,D,A,B,A,A,C,C,A,A,B,C,A,D,A,B
20,20292206,C,A,B,B,A,B,D,A,A,A,C,A,C,C,D,C,D,A,D,C,A,C,D,A,D
21,10301073,A,D,B,D,B,D,A,B,D,A,C,A,D,B,C,C,C,D,C,B,A,A,D,D,B
22,10152673,B,D,B,D,B,A,C,B,D,A,C,A,D,D,C,C,C,A,C,A,B,A,D,D,B
23,20084088,B,C,B,C,D,B,C,C,C,C,C,D,A,A,C,A,B,C,D,A,A,B,A,D,B
24,10126749,C,A,B,D,A,B,C,A,C,B,C,C,C,A,C,A,C,A,D,C,A,A,C,B,C
25,10152630,C,A,B,D,B,D,D,B,C,A,B,B,B,D,A,C,C,B,B,A,A,C,D,D,B
26,10152322,B,B,D,C,A,A,C,B,B,A,D,D,A,A,B,C,D,C,D,G,A,C,D,A,B
27,10033708,B,B,D,B,A,B,B,B,C,A,C,B,B,A,D,C,C,D,B,B,A,A,A,B,C
28,10152691,B,A,B,D,D,D,D,B,D,C,D,A,B,B,C,A,C,C,D,A,A,A,D,B,A
29,10152792,A,A,B,D,D,D,C,B,A,D,C,A,B,B,D,A,C,C,D,A,D,A,D,D,B
30,10068519,B,C,C,D,D,C,B,D,A,D,D,B,B,A,D,B,C,C,D,C,A,A,D,B,B
31,20095766,B,A,B,D,B,D,C,B,D,C,C,A,C,B,D,C,C,C,C,B,A,A,D,B,B
32,10152511,B,D,C,B,D,C,C,A,A,A,C,B,C,B,C,A,C,C,B,A,A,B,A,D,B
33,10334370,D,B,B,C,A,D,D,B,D,B,C,D,D,A,C,A,D,D,D,A,A,A,D,C,B
34,10060618,C,C,C,A,A,D,A,B,A,A,B,D,B,C,D,A,C,C,D,B,A,C,A,D,C
35,10141316,A,C,B,B,D,D,D,B,D,A,C,A,B,B,C,C,B,C,D,A,A,A,D,A,B
36,19815521,B,B,B,C,B,D,D,B,D,A,B,A,D,B,D,C,C,D,B,A,A,A,D,D,B
37,20331975,B,B,D,A,A,A,D,B,C,B,D,A,B,A,A,A,C,C,D,C,A,C,C,D,D
38,10260224,,A,B,D,,,C,A,A,D,,,A,A,D,A,D,C,B,,,A,A,,D
39,10003607,B,D,D,C,C,A,D,D,A,A,D,D,C,B,B,A,B,A,B,B,D,B,B,C,B
40,10011718,B,D,B,D,B,D,C,B,B,A,C,A,B,C,D,A,B,A,D,C,A,A,D,B,B
41,10152488,B,D,B,A,B,D,C,B,A,C,C,A,A,B,D,C,C,A,B,A,A,A,D,D,B
42,10223603,C,A,A,C,A,B,C,A,A,C,C,C,B,C,C,B,D,C,B,G,A,B,C,C,D
43,20409624,D,B,B,D,D,B,D,B,B,B,D,D,A,D,D,B,D,C,D,C,A,A,A,A,B
44,10334389,A,D,B,A,B,D,C,B,D,C,C,A,B,D,D,A,C,C,B,A,A,C,D,A,B
45,10396791,A,A,B,A,B,B,A,B,A,C,C,B,A,D,C,A,A,A,B,A,B,A,C,A,A
46,10152282,B,A,C,B,A,B,D,B,C,B,A,B,A,A,C,B,D,A,D,B,A,C,C,D,A
47,10152153,C,A,C,A,B,A,A,C,C,B,C,C,B,C,D,B,C,C,B,B,A,B,C,A,B
48,20247005,A,D,D,A,D,B,D,A,B,A,D,D,A,D,D,A,B,A,D,B,C,D,B,A,A
49,10399192,A,D,D,A,D,D,C,A,D,B,C,B,B,B,A,B,B,D,D,B,C,C,C,A,D
50,19967336,A,A,D,C,D,A,A,B,A,A,B,A,C,B,C,A,C,A,B,A,A,D,C,C,A
51,10425389,D,D,,A,B,,A,,,,C,C,D,D,D,C,C,,D,B,C,,C,C,C
52,20159778,B,D,D,B,D,D,B,A,D,A,C,C,A,A,C,A,D,C,B,C,D,A,C,A,A
53,10002236,D,C,D,C,A,B,D,A,D,C,B,D,D,D,A,D,A,A,B,G,D,A,A,D,D
54,10110951,A,A,B,D,B,D,C,B,A,A,C,A,D,B,C,C,C,C,C,B,A,A,B,D,B
55,10111064,A,A,B,D,B,D,C,B,D,A,C,A,D,B,C,C,C,C,C,B,A,A,D,D,B
56,10118049,A,A,B,D,B,D,C,B,D,A,C,A,D,D,C,C,C,C,C,B,A,C,D,D,B
57,20321552,B,A,B,D,B,D,C,B,C,A,A,B,D,B,A,C,C,C,C,A,C,B,B,A,B
58,10382884,D,B,D,B,C,C,D,D,C,C,B,D,D,C,C,C,C,A,D,C,B,C,C,D,B
59,20391438,D,D,B,D,A,B,B,B,B,B,C,C,D,B,C,C,B,B,B,B,C,B,B,D,D
60,10123143,B,A,D,A,B,D,D,D,D,A,D,B,C,A,B,C,B,C,C,A,B,B,C,B,B
61,10019660,A,A,D,A,B,B,B,C,A,B,C,B,A,C,D,B,A,B,D,B,A,B,C,A,C
62,19893849,D,D,A,B,C,D,D,B,D,D,C,D,D,D,B,D,B,A,D,A,B,A,D,D,D
64,10140207,D,A,D,C,C,B,C,B,D,B,B,A,C,A,A,A,D,A,D,A,A,A,A,B,A
65,10079543,A,A,A,A,A,A,C,A,A,A,A,A,A,A,A,B,C,A,A,C,A,B,D,C,A
66,20305862,C,C,C,A,C,A,D,D,D,A,D,D,C,C,D,C,B,A,C,G,B,A,D,D,B
67,20358075,B,B,B,B,C,D,D,B,C,B,B,A,B,C,C,B,D,C,D,C,D,D,B,B,B
68,10364434,D,B,D,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,D,B
69,10104856,C,D,D,B,D,D,B,B,B,C,A,A,A,A,C,C,C,B,A,G,C,C,D,A,C
70,20358977,A,A,B,D,B,D,C,A,D,A,C,A,D,B,D,C,C,A,C,B,C,A,B,D,B
71,10104774,B,A,B,D,A,D,C,B,A,A,C,A,B,B,C,C,B,D,D,B,C,A,D,D,B
72,10161174,B,B,D,B,B,B,C,B,B,C,D,C,A,C,B,C,B,B,B,C,B,A,B,A,B
73,20289232,D,D,D,A,A,A,A,D,A,D,C,D,B,A,A,C,D,A,D,A,A,A,D,D,A
74,10150188,C,B,D,B,A,C,A,B,A,A,D,C,C,A,D,B,C,C,B,B,A,B,C,D,C
75,10120084,A,A,B,A,B,D,C,B,D,B,C,A,A,B,C,C,C,D,C,C,B,A,D,B,D
76,10124917,A,A,B,A,C,C,B,B,B,C,D,C,C,C,C,C,B,B,C,B,D,B,B,A,B
78,10101842,B,B,B,B,A,C,C,D,A,A,C,C,C,C,D,B,A,A,D,C,A,B,D,C,B
79,10107939,D,A,D,A,A,D,C,B,A,D,C,A,A,B,C,A,B,C,B,B,A,A,D,A,B
80,19925794,C,B,A,A,A,A,A,B,A,A,A,C,A,B,A,A,D,A,C,A,A,A,B,A,B
81,20305867,B,B,D,A,D,D,C,B,A,D,A,A,D,A,D,C,C,A,C,B,D,A,D,D,B
82,10122518,A,A,B,A,D,B,C,B,A,B,A,A,A,A,C,D,C,B,C,G,D,D,D,A,C
83,20027744,A,A,B,C,B,D,C,B,A,A,C,D,D,B,C,C,C,C,C,B,A,A,D,D,B
85,20156447,A,A,B,D,A,D,C,B,D,A,C,A,D,B,D,C,B,C,C,B,A,A,D,D,B
86,10134399,D,D,D,A,A,A,D,B,A,A,B,D,C,B,C,A,A,D,D,C,B,A,D,C,B
87,20058936,D,D,B,C,A,B,D,B,B,A,A,A,B,A,A,D,D,A,B,A,A,A,A,D,C
88,20346140,C,A,D,B,A,B,A,B,D,B,D,A,D,A,A,C,B,A,A,A,B,A,D,D,B
89,10333650,C,A,B,C,D,C,A,B,C,D,C,A,C,A,C,B,D,D,D,B,D,C,C,D,D
90,10068617,B,A,B,A,A,A,D,A,A,C,A,A,C,C,A,A,A,B,B,A,A,A,B,A,C
91,20345969,D,D,B,D,C,A,A,B,D,A,C,D,B,A,B,C,C,A,D,A,A,A,D,C,D
92,20303886,A,A,B,D,D,B,A,A,A,C,C,A,A,A,A,A,D,A,C,G,A,C,A,D,A
93,20303874,A,D,B,A,D,D,D,D,D,D,C,A,B,A,B,C,D,D,C,G,C,A,D,A,D
94,19883304,D,A,D,C,B,B,C,C,B,C,C,D,C,C,B,C,C,B,A,B,B,B,D,A,A
95,20303894,A,B,C,A,D,B,B,B,B,A,B,C,A,B,C,B,A,A,B,B,A,A,D,A,B
96,19894411,D,B,B,B,A,C,D,A,C,A,C,B,B,B,A,A,C,C,B,B,A,B,B,A,A
97,10127288,C,B,B,D,C,A,D,D,B,B,C,D,A,C,D,A,C,D,D,C,C,D,B,A,B
98,10127693,C,C,C,C,C,B,B,B,D,B,C,B,C,C,C,C,C,C,C,C,C,C,A,C,B
100,20348802,A,B,B,A,C,D,A,B,A,A,B,A,A,A,D,B,B,A,C,B,A,A,B,C,B
101,20348836,A,A,B,B,D,D,A,B,A,C,D,A,B,A,B,A,C,A,B,A,A,B,C,A,D
102,10158076,C,D,C,B,C,D,B,B,D,B,D,D,C,C,D,C,B,B,D,C,A,C,D,B,B
103,19859954,B,A,A,C,B,C,B,B,A,C,D,C,B,C,B,B,C,A,B,A,C,B,D,C,D
104,20205316,B,B,A,D,C,C,C,C,D,C,A,A,A,A,B,B,D,A,C,B,B,B,D,D,A
105,10159615,D,B,B,C,B,B,B,B,C,C,C,C,D,B,A,C,B,D,B,B,C,D,D,C,B
106,20382483,D,D,B,B,C,A,C,B,D,B,B,B,B,B,D,A,C,B,C,B,C,B,B,D,B
107,10168432,A,A,B,A,D,D,A,B,D,A,C,D,A,A,B,B,C,C,C,B,A,A,D,D,B
108,20345874,C,C,B,D,C,D,C,B,B,A,C,A,B,A,A,C,C,D,C,B,D,A,D,A,B
