N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,19897523,B,A,C,C,A,D,D,D,C,C,D,A,B,D,A,A,A,B,A,B,C,A,A,A,D
2,19713866,A,B,C,C,B,C,D,B,D,B,C,C,A,D,A,B,A,C,A,D,D,B,B,A,D
3,7281493,C,D,C,C,A,C,A,D,D,C,D,B,A,C,A,A,C,B,B,B,C,B,A,B,C
4,19712978,B,A,D,A,B,D,B,D,D,D,A,B,C,C,B,D,C,B,C,A,A,B,D,A,D
5,20089087,B,B,C,C,A,A,B,B,B,D,B,A,B,C,B,D,B,B,C,D,D,A,C,A,D
6,19712977,B,C,A,B,B,A,D,C,B,A,C,D,C,B,B,A,D,B,D,D,A,C,C,C,D
7,19899302,A,B,D,B,B,C,D,A,A,B,D,A,B,A,C,C,C,B,D,D,C,D,A,B,C
8,2775717,B,A,B,D,A,C,B,A,B,C,A,A,B,D,B,C,B,B,A,C,A,A,C,D,D
9,7281451,B,B,C,C,B,B,B,D,B,C,B,B,A,A,A,B,A,B,A,B,C,B,A,C,D
10,20097096,C,A,C,C,B,D,D,D,A,D,D,A,C,D,B,A,A,C,D,B,C,D,A,A,A
11,4235922,C,A,C,C,A,D,B,D,D,C,D,B,A,C,A,A,A,B,B,B,C,B,A,A,D
12,3195497,B,A,A,C,A,A,D,B,D,C,A,A,B,B,A,B,C,C,A,D,A,A,D,D,D
13,4770492,B,C,B,B,D,C,B,B,B,A,C,A,D,C,B,A,C,C,A,D,A,B,B,A,D
14,6932990,D,C,C,D,B,D,A,D,C,C,D,B,B,A,A,B,C,B,C,C,C,A,A,A,D
15,3221217,C,C,C,C,C,D,C,D,C,C,C,C,B,B,B,B,C,B,B,B,B,A,C,B,A
16,7281479,D,A,A,C,C,D,D,D,D,A,D,A,A,C,A,A,C,B,B,D,A,A,A,A,A
17,3221233,C,A,C,C,A,C,B,D,D,C,B,B,A,C,A,A,C,B,B,B,C,B,C,A,D
18,7281482,B,A,A,C,B,D,B,D,D,D,C,A,B,A,B,C,B,A,A,D,B,C,C,A,D
19,19713010,C,A,A,C,A,D,B,D,C,C,D,B,B,B,B,B,A,B,D,D,C,C,A,B,D
20,7281497,C,A,C,C,B,A,B,D,B,C,D,A,B,B,A,C,C,B,B,D,A,B,A,A,D
21,2935320,C,A,A,B,C,D,D,D,B,C,D,B,D,B,A,C,A,B,C,A,B,A,C,A,C
22,2894250,B,A,A,C,A,D,B,C,D,C,D,B,B,D,A,A,A,B,B,D,A,B,A,A,D
23,19787025,B,A,C,A,C,D,A,C,B,D,D,A,A,B,A,A,A,B,A,A,A,A,B,A,B
24,19867899,B,B,A,B,C,A,D,B,C,C,D,B,B,B,A,A,A,B,B,B,B,B,A,C,C
25,5617033,C,A,C,C,A,D,D,D,D,C,D,B,B,D,A,A,A,B,B,D,C,B,A,A,A
26,20095920,A,D,A,D,D,A,B,D,A,A,C,C,C,C,C,A,C,C,C,C,B,B,C,C,A
27,6537066,C,A,C,D,B,C,B,D,C,A,C,B,C,B,A,C,A,D,B,C,A,D,B,D,A
28,4403628,C,A,C,C,A,A,D,D,B,C,D,B,B,D,A,A,A,B,A,B,C,C,C,A,D
29,19994341,C,A,A,C,D,B,D,D,B,C,D,B,A,A,B,A,A,B,D,A,A,A,A,A,B
30,5822861,B,A,A,B,B,C,B,B,B,B,B,A,C,C,A,D,C,A,C,D,C,D,D,B,A
31,20159184,C,A,C,C,D,D,B,D,A,C,D,B,B,C,A,A,A,B,A,B,C,B,A,A,C
32,20083776,C,C,C,C,A,C,D,C,B,C,B,C,B,C,B,C,C,A,B,B,C,B,C,C,B
33,19983608,C,A,C,C,B,D,B,D,B,C,D,B,B,C,A,A,B,B,A,B,A,B,A,A,A
34,4987193,B,B,B,C,C,C,B,B,B,C,D,B,B,B,B,B,C,B,B,B,D,B,C,B,A
35,19732621,C,A,,,,D,B,,,C,D,B,A,D,,,A,,C,B,C,C,B,A,A
36,20034081,C,A,C,C,D,D,B,D,B,C,D,B,B,D,A,A,A,B,A,B,C,B,A,A,A
37,19800434,C,A,D,C,A,D,B,D,D,C,D,B,A,D,A,A,A,B,B,B,C,B,A,A,A
38,19787249,B,B,A,A,B,C,B,D,C,C,B,B,A,B,C,D,C,A,C,A,B,B,B,B,C
39,6658032,B,C,C,D,B,C,D,A,B,A,C,A,B,B,A,B,B,B,C,B,B,B,C,C,A
40,19787492,C,A,C,C,C,D,B,D,B,C,D,B,B,A,A,A,A,B,C,B,B,B,A,A,C
41,19930400,A,B,D,C,A,C,B,B,A,A,D,A,A,A,A,A,A,B,A,C,A,B,B,B,C
42,19960315,D,C,A,C,C,B,C,B,A,D,C,A,A,C,B,B,A,A,C,A,A,A,A,C,B
43,19885419,C,A,C,C,B,B,B,C,C,B,C,A,A,B,A,B,B,B,B,B,C,B,D,C,C
44,19732771,C,A,C,C,A,C,D,D,D,C,B,B,B,D,C,B,C,B,B,A,C,D,C,A,A
45,19859450,A,A,C,C,D,C,C,D,C,C,D,B,B,C,A,A,B,B,B,A,C,B,A,A,B
46,19838609,C,C,C,C,B,A,B,B,C,C,C,C,B,C,B,B,A,B,B,B,B,B,B,C,B
47,19840698,C,A,C,C,A,B,C,B,B,A,D,B,B,A,A,C,C,B,B,A,C,B,A,A,B
48,19859433,C,A,D,C,A,C,B,A,C,D,C,C,B,C,B,C,C,C,D,B,D,C,C,D,C
49,3161573,B,B,B,D,B,C,A,C,B,D,C,B,C,A,C,A,D,C,C,D,C,C,C,A,B
50,10281126,B,A,C,A,B,A,C,B,B,B,D,A,B,C,C,D,A,B,A,B,B,D,C,A,A
51,19859317,A,A,C,A,B,C,B,D,B,A,C,C,C,B,B,C,C,C,C,B,B,B,A,B,B
52,19837890,B,C,B,B,C,A,B,C,B,D,C,B,B,C,C,C,C,C,D,C,C,A,D,D,C
53,4932573,C,A,C,C,D,C,A,D,C,C,D,B,B,D,A,D,A,B,A,B,B,B,B,A,C
54,3068822,C,D,B,C,A,D,D,D,D,C,D,B,A,D,A,A,A,B,B,B,C,B,A,A,D
55,19911008,C,A,C,C,D,D,C,D,C,C,D,B,A,A,A,A,A,B,B,B,C,B,A,A,A
56,19815593,D,A,A,C,A,A,C,D,B,B,A,B,A,D,A,A,B,A,D,C,D,D,C,C,B
58,19809368,B,A,B,A,B,B,B,B,D,C,B,C,B,D,B,C,D,A,B,D,B,D,B,B,B
59,3554672,C,A,C,C,A,D,D,D,C,C,D,B,D,D,A,B,A,B,A,B,C,B,D,A,D
60,4701351,B,A,B,A,B,A,A,A,A,A,D,B,A,A,A,A,A,B,D,B,D,D,B,D,A
61,20104832,B,B,C,C,A,D,B,D,B,C,C,A,C,C,A,D,C,A,B,B,C,B,B,A,A
62,19859352,C,A,C,C,B,C,B,C,C,C,D,B,A,C,A,A,A,B,B,B,C,D,A,A,D
63,5034004,A,A,C,C,D,D,A,D,D,C,D,B,A,C,D,A,A,B,B,B,D,B,A,A,D
64,19711000,A,B,C,D,A,D,D,D,A,B,C,D,D,D,A,C,D,D,C,B,C,A,D,B,B
66,19859453,A,C,A,A,B,D,C,A,A,A,A,C,B,C,B,C,D,A,A,C,C,D,C,A,C
67,10278994,C,A,C,D,A,B,A,A,C,A,D,C,B,D,C,C,D,C,C,B,B,D,D,C,C
68,3068748,B,,,A,,C,D,,,,,,,,B,,,,,,C,,,,
69,6653329,C,D,D,A,A,B,C,C,C,A,C,B,C,C,B,C,B,B,C,B,C,B,A,D,C
70,6928865,D,A,C,C,D,A,A,D,A,C,D,B,B,B,A,A,C,B,B,B,B,B,A,A,A
71,19844937,D,A,A,C,A,D,B,A,D,D,B,D,A,D,B,B,D,A,A,B,C,A,A,B,A
73,19765444,A,B,C,B,C,B,B,B,A,B,C,B,D,C,C,C,B,B,B,B,C,C,C,D,A
74,3040483,C,C,C,C,A,D,D,D,B,C,D,B,B,D,A,A,A,B,B,D,C,B,A,A,D
75,19925779,B,D,A,A,B,C,C,B,B,A,C,A,B,A,C,B,C,B,B,D,C,C,B,B,B
76,5534389,A,A,B,B,B,C,D,A,D,A,B,C,C,B,A,D,B,B,B,A,B,C,D,D,A
78,19859990,C,A,C,C,B,D,D,B,D,C,C,B,B,C,A,A,A,B,B,D,C,B,A,A,A
79,20020760,B,A,D,A,D,A,C,D,D,C,B,A,D,C,C,B,A,B,C,A,B,B,A,A,D
80,5532069,D,C,C,B,A,D,B,B,B,C,C,C,B,B,B,A,A,C,B,C,B,A,B,A,B
82,3268622,C,A,C,A,A,D,A,D,B,C,D,C,A,D,A,C,C,B,D,B,A,B,A,C,A
83,3268639,C,A,C,C,B,D,B,D,C,C,D,B,B,B,B,B,A,B,A,B,B,B,A,A,A
84,19981448,A,A,B,A,B,A,B,B,A,C,D,B,A,B,A,A,B,B,B,A,B,B,A,B,A
85,3169920,A,B,A,A,C,C,D,A,C,D,A,D,B,B,B,D,A,C,B,A,B,B,C,C,D
86,19871427,C,A,C,C,D,A,B,D,B,C,D,B,B,A,A,A,D,B,B,D,B,C,A,A,D
87,3169810,A,A,C,A,D,A,D,D,D,B,D,D,A,B,A,A,C,B,D,A,C,A,A,C,D
88,19883256,C,A,C,A,B,C,B,D,A,C,D,B,A,C,A,B,A,B,B,B,C,B,A,A,D
89,19883257,D,B,B,C,B,C,D,A,A,A,B,B,B,A,C,C,B,B,A,B,A,D,C,C,A
90,3008381,B,A,B,C,C,D,D,D,B,C,C,B,A,A,A,A,B,B,A,B,A,B,C,A,A
91,19855643,C,A,C,A,D,B,B,D,A,A,D,B,A,D,A,A,A,B,B,A,B,D,A,A,D
92,6535885,B,A,A,D,B,C,D,A,B,A,B,C,B,C,A,C,A,B,B,A,B,D,D,C,D
93,20152845,C,A,C,D,C,D,C,D,B,C,D,B,D,B,A,A,B,B,C,D,C,B,A,A,B
94,19747812,C,A,B,A,A,D,A,B,B,C,D,D,C,A,A,A,A,D,B,B,D,A,A,A,D
95,19925576,D,D,C,D,B,C,C,C,A,B,B,B,C,A,B,A,A,B,C,B,A,B,D,C,D
96,19877626,A,A,D,D,B,D,A,D,B,D,B,C,B,D,D,C,C,A,C,B,B,B,D,D,B
97,19755692,A,B,C,B,A,A,D,C,C,D,C,C,C,C,B,B,D,B,C,A,B,C,B,A,C
98,20136408,C,A,C,C,A,A,B,D,D,C,D,B,B,C,A,A,A,B,D,B,C,B,A,A,D
99,19927749,C,A,C,C,B,A,B,D,A,C,D,B,B,C,A,A,A,B,B,B,C,B,A,A,D
100,19831610,D,D,D,D,C,D,D,A,A,D,D,D,B,D,D,B,D,C,D,B,A,A,D,D,D
101,19837593,C,D,B,B,A,A,A,B,C,B,A,D,C,D,A,C,C,A,B,A,C,D,C,C,B
102,19964223,D,D,C,B,C,C,D,D,C,C,C,C,A,B,A,B,D,A,C,B,B,D,C,A,D
104,5060297,C,A,C,C,A,D,B,D,D,C,D,B,B,D,A,A,A,B,B,B,C,B,A,A,D
105,7118933,C,C,D,D,C,C,D,A,B,A,A,C,A,C,A,A,B,B,B,A,B,B,A,C,D
107,19920582,A,B,C,D,D,C,D,C,A,B,B,D,A,C,B,B,B,A,D,A,D,B,A,B,A
108,19925243,A,A,A,C,C,D,A,B,C,A,B,C,B,D,C,C,A,D,A,A,B,D,A,D,D
109,20113598,C,D,C,D,A,D,B,D,D,A,A,C,A,D,A,A,A,B,B,D,C,C,C,A,A
110,19764479,D,C,B,A,C,A,B,C,A,B,B,D,A,B,A,D,D,A,A,C,D,A,D,A,B
111,19899255,C,C,C,C,B,B,D,C,D,A,C,D,B,C,C,B,C,B,C,D,D,C,B,D,D
112,5064524,B,B,A,A,B,B,D,B,D,D,B,D,B,A,C,C,D,A,B,C,A,C,C,C,D
113,20156715,C,,C,,B,D,B,D,,,D,B,,D,,A,A,B,D,D,,,C,,D
114,7362141,B,A,B,B,B,B,B,B,B,B,C,A,B,B,C,C,A,B,A,A,D,C,C,B,B
115,10321443,,C,,C,D,D,,,D,C,A,,B,C,,D,,,,,,,,B,
116,19986122,,,,B,A,B,,A,C,,B,,C,,D,A,C,B,A,D,C,D,D,A,D
117,19854275,C,B,C,C,B,D,B,D,A,C,D,B,A,A,A,D,D,C,C,D,B,D,A,B,D
118,19810665,A,D,A,A,C,C,C,C,C,C,C,B,B,B,A,A,C,B,C,B,A,D,D,A,D
119,5820742,D,A,C,D,C,C,C,A,B,C,D,C,D,C,B,D,A,B,D,D,A,A,A,B,A
120,19755807,B,B,B,C,A,D,B,C,D,B,C,C,A,A,B,A,C,B,A,D,C,B,B,B,C
122,2693641,B,A,A,B,A,D,D,B,D,D,C,A,A,D,A,C,C,B,A,A,A,C,C,B,A
123,3070980,B,C,A,D,C,D,B,B,B,A,D,C,A,C,B,D,B,A,A,A,D,B,C,B,C
126,20065151,B,B,B,C,B,A,A,A,D,A,B,B,C,A,C,C,A,C,B,B,B,A,A,A,A
127,19918153,D,B,B,A,B,B,B,A,C,C,D,B,C,C,B,C,B,A,A,B,B,D,D,C,A
128,5820602,C,A,C,C,D,D,B,D,D,C,D,B,B,A,A,A,A,B,B,B,B,B,A,A,A
129,19829949,C,A,C,C,C,C,D,A,D,C,B,B,B,D,B,A,A,B,D,B,C,D,B,D,A
131,2201927,C,A,C,C,A,D,B,D,D,C,D,B,B,D,A,A,A,B,B,B,C,B,A,A,D
132,2557735,C,A,C,C,A,D,B,D,D,C,D,B,B,D,A,A,A,B,B,B,C,B,A,A,D
135,19876744,B,A,B,C,A,D,B,B,D,A,D,B,B,C,A,D,C,B,A,C,A,A,A,A,C
136,19827169,D,C,C,D,A,C,D,C,C,B,C,A,B,B,C,C,C,B,B,D,B,C,D,B,B
137,19953586,D,A,A,C,C,B,D,B,D,D,C,D,A,D,B,B,C,B,B,A,C,B,D,B,D
138,5787035,A,C,B,C,D,C,A,B,C,C,A,D,C,D,D,C,D,A,B,A,A,C,D,D,C
139,19877863,C,A,A,B,D,D,A,B,B,B,B,D,D,C,C,C,C,C,D,C,B,B,A,C,C
140,6135054,C,B,C,C,A,C,B,B,B,C,B,B,B,C,B,B,C,A,B,B,A,B,D,B,B
141,19871675,A,D,A,D,A,B,B,A,C,B,C,C,C,D,D,D,A,B,A,C,C,C,A,D,B
142,20329630,B,C,A,B,D,A,D,C,A,A,C,B,A,A,A,C,C,D,B,A,D,D,D,A,C
143,19726810,B,B,B,B,B,B,D,B,B,C,C,C,B,C,C,A,C,C,A,C,A,C,C,A,B
144,4836501,C,A,C,D,D,D,B,D,A,C,D,B,B,B,A,A,A,B,C,B,C,A,A,A,C
145,2677180,C,A,C,A,D,D,A,C,C,D,D,B,B,B,A,A,A,B,B,B,A,C,A,A,B
146,6410818,C,A,C,D,D,A,B,D,C,C,D,B,D,D,A,D,A,A,D,B,D,C,A,A,A
147,3195250,C,D,A,D,A,D,A,A,C,D,B,D,A,A,B,C,D,C,C,B,A,C,A,D,C
148,6410788,A,A,C,C,B,D,D,D,D,C,D,A,C,A,C,B,D,D,C,C,C,B,D,A,D
149,19772012,C,D,A,B,D,A,B,C,C,D,D,C,B,D,C,B,D,C,C,C,C,C,B,D,A
150,19847772,C,B,C,D,B,D,B,D,D,C,D,A,A,D,A,D,A,B,B,B,C,A,C,A,A
151,20165650,B,B,D,D,D,B,B,A,C,B,B,A,A,D,A,A,D,B,B,A,A,A,B,D,A
152,5581061,D,D,D,A,B,A,A,D,A,C,B,A,A,A,C,C,B,B,D,C,B,C,C,B,A
153,4659000,C,C,C,D,B,B,D,B,B,C,A,C,B,B,A,A,C,A,A,B,B,B,C,A,B
154,19717229,D,B,C,A,A,D,D,B,D,D,C,D,C,B,C,B,D,C,A,C,B,A,D,D,B
155,19935791,A,C,B,B,A,C,C,B,B,D,C,B,B,C,C,A,A,A,B,A,D,D,C,B,D
156,19935343,A,B,C,C,C,D,C,D,A,D,B,B,C,B,B,C,D,A,B,C,C,C,B,A,C
158,19753684,B,A,A,C,C,C,D,A,B,D,C,A,A,C,A,C,C,B,B,A,B,A,A,A,D
159,19937413,C,A,C,D,D,D,A,D,B,C,D,B,B,D,A,A,A,B,B,B,C,B,A,A,A
160,6535849,B,A,C,B,A,A,B,B,C,A,B,C,B,A,A,D,D,A,A,A,A,D,C,C,A
161,6535853,B,D,C,C,A,A,D,A,C,A,A,B,B,C,A,B,C,A,B,A,A,C,B,D,D
162,4654975,A,A,A,B,D,A,A,A,B,D,B,A,A,A,A,D,D,A,A,D,B,D,D,B,C
163,2674486,C,A,D,C,B,C,B,D,B,C,D,D,B,D,A,A,D,A,A,A,D,D,B,C,C
165,19775889,B,B,A,B,C,C,C,B,A,C,A,A,A,B,B,D,C,B,B,C,C,A,B,B,D
166,3635144,A,B,A,A,B,A,D,C,B,C,A,A,B,B,A,B,D,B,D,D,B,A,D,A,A
168,19966516,B,A,B,C,A,C,D,A,A,A,A,A,A,A,B,C,A,B,D,A,A,C,C,A,D
169,19986898,C,A,C,C,D,A,A,A,A,C,D,A,B,B,A,A,C,B,D,A,C,B,A,A,A
171,19966535,C,D,C,C,B,C,A,A,D,C,D,B,B,B,A,A,A,B,B,B,B,B,A,A,A
172,19938255,C,A,C,C,A,B,D,D,D,C,D,B,D,C,A,A,A,B,C,A,D,A,A,A,D
173,7363555,B,A,C,C,B,A,B,A,C,B,B,B,A,A,B,B,B,A,B,A,A,B,B,A,A
174,19938739,C,B,C,B,A,D,B,D,C,C,D,B,B,B,A,A,A,C,B,B,D,B,A,A,D
175,20027984,C,D,B,B,B,D,C,B,A,C,A,A,B,B,B,B,C,A,B,B,B,B,B,B,A
176,19934729,C,A,C,D,C,A,A,D,A,A,B,C,A,C,A,B,A,A,B,B,D,A,A,B,A
177,10989377,B,A,A,B,C,B,B,A,C,D,C,A,B,B,D,B,C,A,A,A,B,C,C,D,A
181,4467659,A,D,B,C,B,A,C,B,A,C,D,B,C,C,C,C,C,C,D,A,D,B,A,D,C
183,5874638,C,C,B,D,B,D,B,D,D,B,B,C,C,C,A,B,D,B,C,C,A,D,C,B,A
184,10002027,B,B,A,A,C,C,A,B,C,B,C,B,B,C,B,B,B,B,C,B,B,B,C,B,D
185,10335456,A,B,A,A,D,A,C,C,D,C,D,C,C,C,B,A,A,B,D,B,C,B,C,D,C
186,20008973,D,C,B,D,B,B,A,B,D,D,D,B,B,D,C,C,A,C,D,C,C,D,B,B,B
187,10184232,B,D,A,C,C,B,A,D,A,D,D,B,D,C,C,D,C,D,A,D,D,C,C,C,B
188,10424882,C,C,C,C,C,D,C,B,D,C,C,C,D,C,C,C,C,B,B,C,C,C,C,C,C
190,20272168,A,A,A,B,B,B,D,B,B,D,A,C,B,B,C,C,B,C,A,A,A,A,C,B,A
191,5615838,D,A,D,C,C,D,D,A,A,C,C,B,B,D,B,C,D,C,B,A,C,B,D,C,C
193,20258459,D,D,C,C,C,A,C,D,C,B,B,A,A,D,C,B,D,B,C,A,B,C,B,B,A
194,19875244,D,B,A,A,D,C,A,B,B,D,B,C,B,C,A,C,A,A,C,C,B,D,A,B,A
195,10273556,B,A,C,C,D,C,B,B,D,B,C,B,A,C,B,D,D,A,C,A,B,D,C,B,D
196,10273541,A,D,C,B,A,C,D,B,B,D,B,A,B,A,A,D,B,A,A,C,A,D,B,A,D
