N°,NIE,G1-MAT1,G1-MAT2,G1-MAT3,G1-MAT4,G1-MAT5,G1-MAT6,G1-MAT7,G1-MAT8,G1-MAT9,G1-MAT10,G1-MAT11,G1-MAT12,G1-MAT13,G1-MAT14,G1-MAT15,G1-MAT16,G1-MAT17,G1-MAT18,G1-MAT19,G1-MAT20,G1-MAT21,G1-MAT22,G1-MAT23,G1-MAT24,G1-MAT25
1,10299282,D,D,C,B,A,A,B,A,B,C,C,D,B,A,A,A,B,A,A,D,A,B,A,A,A
2,20272993,C,D,C,C,B,A,D,C,B,A,C,B,B,A,C,A,A,C,A,C,B,B,A,B,B
3,20272995,D,D,B,D,C,A,C,C,B,C,C,B,B,C,D,A,D,B,A,B,A,B,C,C,A
4,10048799,A,D,A,C,B,A,A,A,B,B,C,B,B,A,C,A,A,D,A,D,D,B,C,C,C
5,20273600,A,D,A,A,A,A,D,D,A,A,D,A,A,B,A,A,B,B,A,A,B,B,A,D,A
6,10117488,A,D,C,B,C,A,A,B,B,C,C,A,A,B,D,A,B,C,A,B,B,A,C,D,B
7,20298611,D,D,B,D,D,A,A,A,B,C,C,D,C,A,A,A,B,D,A,B,A,C,C,B,B
8,20239842,D,D,A,A,B,A,A,A,B,D,C,A,B,A,A,A,C,A,C,B,A,B,,C,A
9,10021057,C,A,A,A,C,A,B,B,B,A,C,C,B,A,B,B,C,B,A,B,A,B,B,C,A
10,20273006,B,D,B,D,C,B,C,C,B,D,C,D,D,D,D,A,C,D,A,D,D,C,C,C,D
11,20292412,A,A,A,B,B,A,C,A,B,C,C,A,C,C,A,A,B,C,A,A,A,A,A,A,A
12,20292362,B,B,A,B,B,B,A,B,B,B,A,D,B,A,B,A,A,A,A,A,A,D,C,B,A
13,10290677,D,D,A,C,B,A,A,A,B,C,C,A,B,C,A,A,B,B,A,B,A,B,C,D,A
14,20097926,B,A,A,C,C,A,C,C,B,C,C,D,C,B,B,A,C,D,B,B,B,A,C,B,B
15,20273015,A,D,A,A,B,D,C,C,C,A,C,C,D,B,A,A,C,D,C,A,A,A,D,C,B
16,20098557,C,B,A,B,A,B,B,C,B,B,C,B,B,B,C,A,B,D,A,D,A,B,A,C,C
17,20292380,D,D,B,B,A,A,A,C,B,A,C,C,D,B,D,A,B,D,A,B,A,A,C,A,A
18,10020906,,,,,,,,,,,,,,,,,,,,,,,,,
19,20099199,B,D,A,A,B,A,A,A,B,A,C,D,B,B,D,A,B,C,A,D,B,A,B,A,A
20,20192432,A,A,A,D,A,A,A,B,A,A,C,D,B,B,B,A,A,D,A,B,A,A,B,B,B
21,20292369,A,D,A,B,B,A,A,B,B,B,C,B,B,B,A,A,B,D,A,C,C,B,B,A,A
22,10227867,B,D,A,B,C,A,A,B,A,C,C,D,D,B,A,A,B,D,A,D,A,B,D,C,A
23,20100257,B,C,,,,A,,A,,C,,,B,A,B,,B,C,A,B,A,B,C,B,
24,20097611,D,D,B,B,B,B,A,C,B,B,D,D,B,C,A,A,B,A,C,B,A,A,B,C,A
25,20273000,,C,A,B,A,,A,D,A,B,,B,B,B,,A,,D,,B,A,B,C,D,A
26,20098115,B,D,C,B,D,C,B,C,C,A,C,D,C,B,D,C,C,C,A,A,B,B,A,C,C
27,20100179,B,D,A,D,C,C,A,B,D,A,D,D,D,C,B,A,B,D,A,D,C,A,C,B,C
28,20099487,C,C,C,C,D,A,C,D,B,D,C,C,B,B,C,A,C,B,A,C,A,B,A,C,C
29,20331988,D,D,B,B,B,A,C,B,D,D,C,B,B,A,B,A,C,B,A,B,D,A,A,C,B
30,10098330,D,D,A,A,C,A,A,A,B,B,C,A,B,B,A,A,B,B,A,B,D,D,C,C,A
31,10140503,B,D,B,B,A,B,A,A,B,C,C,B,B,B,B,A,A,A,A,B,B,B,C,C,B
32,20095757,D,D,A,A,A,D,A,D,B,B,D,D,B,B,A,A,B,D,A,D,D,B,B,D,C
33,10194670,B,C,A,C,B,A,C,D,B,C,C,D,B,B,B,B,B,B,B,C,B,C,B,B,B
34,10152773,C,D,A,A,A,D,D,A,B,C,D,C,B,B,C,A,C,D,A,A,B,B,C,A,B
35,10152908,D,D,A,A,D,C,C,C,C,A,C,B,D,A,A,C,D,D,A,B,A,B,C,C,A
37,10152919,D,C,A,A,A,B,C,C,B,C,D,D,B,B,B,D,B,C,C,B,C,A,D,C,A
38,10152926,B,D,A,B,C,A,A,C,A,C,C,B,B,A,A,A,B,C,A,B,A,B,A,B,A
39,10152934,A,D,A,B,C,A,A,D,B,C,C,D,B,B,A,A,B,D,A,A,A,D,C,A,B
40,20249899,A,D,B,B,B,C,C,D,B,A,C,D,C,B,B,A,B,D,A,C,A,B,B,B,B
41,20249900,A,D,C,D,A,A,C,A,C,C,D,D,B,C,C,B,B,C,C,C,D,A,D,B,A
42,20129127,D,D,C,D,B,A,B,D,B,C,B,B,B,B,C,C,A,C,D,B,D,A,A,C,D
43,20044963,D,D,A,B,A,A,A,A,B,C,C,A,B,A,A,A,A,A,A,B,A,B,C,C,A
44,20372437,C,B,B,C,B,C,B,C,C,D,C,B,B,B,C,A,B,C,A,B,B,B,C,B,C
45,20316456,D,B,B,A,C,A,A,A,B,D,C,B,B,B,A,C,D,B,C,B,A,B,C,D,A
47,10123304,B,A,B,B,A,A,C,A,C,D,C,D,B,,C,A,,A,A,B,B,,A,A,A
48,20113922,A,D,A,D,B,C,A,A,B,D,C,A,B,C,A,B,B,D,A,B,A,B,C,C,A
49,20378292,D,D,A,A,A,A,C,A,B,A,A,B,A,A,B,D,B,B,A,C,D,A,A,C,A
50,10103155,D,C,A,B,A,B,A,B,B,C,D,A,B,A,B,B,B,B,A,A,D,C,B,C,A
52,10073458,D,C,B,A,B,D,C,B,B,A,C,A,A,C,C,A,D,C,D,A,A,B,A,D,A
